5c07a873a56a67691f9fd6e6
Date,Meal Type,Meal Name,Limiting nutritions,Prioritized nutrtions,Meal provider,Price
Feb 1,Lunch,Butternut Squash Red Lentil Dal with Brown Rice and Three Seed Topping,[u'Salt'],[],Euphebe,0
Feb 1,dinner,Saag no Paneer with Cardamom Rice (GF),[u'Salt'],[u'Turmeric (Curcumin)'],Euphebe,0
Feb 2,Lunch,Pasta Al Forno (GF),[u'Salt'],[],Euphebe,0
Feb 2,dinner,Louisiana Jambalaya,[u'Salt'],[u'Celery'],Euphebe,0
Feb 3,Lunch,Cauliflower Farrotto with Spicy Almonds,[u'Salt'],[],Euphebe,0
Feb 3,dinner,Hippie Brunch Burrito with Green Salsa,[u'Salt'],[u'Turmeric (Curcumin)'],Euphebe,0
Feb 4,Lunch,Lunchtime Chili (GF),[u'Salt'],[],Euphebe,0
Feb 4,dinner,Marcella Inspired Bolognese with Spelt Fusilli,[u'Salt'],[u'Carrots'],Euphebe,0
Feb 5,Lunch,Pizza Pocket,[u'Salt'],[],Euphebe,0
Feb 5,dinner,Chana Masala with Indian-Spiced Rice (GF),[u'Salt'],[u'Turmeric (Curcumin)'],Euphebe,0
Feb 6,Lunch,Harvest Grain Bowl (GF),"[u'Brussel Sprouts', u'Salt']",[u'Celery'],Euphebe,0
Feb 6,dinner,Wild Blueberry Super-food Oats,[{u'Vitamin K': u'0.2 ng'}],[{u'Potassium': u'473.4 mg'}],FoodNerd,0
Feb 7,Lunch,'Sausage' Biscuits and Gravy,"[{u'Vitamin K': u'4.5 ng'}, u'Salt']",[{u'Potassium': u'12.2 mg'}],FoodNerd,0
Feb 7,dinner,Green Machine Bean Burger,[u'Salt'],[{u'Potassium': u'382.4 mg'}],FoodNerd,0
