5c07a873a56a67691f9fd6e6
Date,Meal Type,Meal Name,Limiting nutritions,Prioritized nutrtions,Meal provider,Price
Feb 1,Lunch,Apple Cinnamon Mini Muffins,"[{u'Vitamin K': u'0.17 ng'}, u'Bananas']",[{u'Potassium': u'459.47 mg'}],FoodNerd,0
Feb 1,dinner,Green Tomatillo Chili,[u'Salt'],[],Euphebe,0
Feb 2,Lunch,Blueberry Banana Pancakes,"[{u'Vitamin K': u'0.1 ng'}, u'Bananas']",[{u'Potassium': u'336.5 mg'}],FoodNerd,0
Feb 2,dinner,Veggie Brunch Pie with Roasted Red Pepper Sauce (GF),[u'Salt'],[],Euphebe,0
Feb 3,Lunch,Roasted Chickpea & Vegetable Tacos,"[{u'Vitamin K': u'1.6 ng'}, u'Cabbage', u'Broccoli', u'Salt']","[{u'Potassium': u'359.1 mg'}, u'Cabbage', u'Carrots']",FoodNerd,0
Feb 3,dinner,Pasta Al Forno (GF),[u'Salt'],[],Euphebe,0
Feb 4,Lunch,Brussels Sprouts Gratin with Toasted Pecans (GF),"[u'Brussel Sprouts', u'Salt']",[],Euphebe,0
Feb 4,dinner,Lunchtime Chili (GF),[u'Salt'],[],Euphebe,0
Feb 5,Lunch,Spaghetti and 'Meatballs',"[{u'Vitamin K': u'23.7 ng'}, u'Salt']",[],FoodNerd,0
Feb 5,dinner,Butternut Squash Red Lentil Dal with Brown Rice and Three Seed Topping,[u'Salt'],[],Euphebe,0
Feb 6,Lunch,Chickpea Caesar Salad with Herbed Garlic Croutons,"[u'Brussel Sprouts', u'Salt']",[],Euphebe,0
Feb 6,dinner,Harvest Grain Bowl (GF),"[u'Brussel Sprouts', u'Salt']",[u'Celery'],Euphebe,0
Feb 7,Lunch,Potato Ranch Slaw Salad,"[{u'Vitamin K': u'7.2 ng'}, u'Cabbage', u'Cabbage', u'Salt']","[u'Cabbage', u'Cabbage']",FoodNerd,0
Feb 7,dinner,'Sausage' Biscuits and Gravy,"[{u'Vitamin K': u'4.5 ng'}, u'Salt']",[{u'Potassium': u'12.2 mg'}],FoodNerd,0
